date,Rockbound 2050,Vanguard 2050,S&P 500
2025-06-28,11709.431014515189,10951.043672543135,10554.58386270106
2025-06-29,11912.077604978183,10993.178320181525,10605.048087206223
2025-06-30,11912.077604978183,10993.178320181525,10605.048087206223
2025-07-01,11901.685879972429,10989.165387255674,10601.615318787019
2025-07-02,11953.110032645629,11037.319051588494,10649.67513029874
2025-07-03,11938.146641962792,11095.505430930285,10733.609373712576
2025-07-04,11871.770925923287,11095.505430930285,10733.609373712576
2025-07-05,11871.770925923287,10995.184403950105,10653.623130073682
2025-07-06,11725.218442889316,10995.184403950105,10653.623130073682
2025-07-07,11725.218442889316,10995.184403950105,10653.623130073682
2025-07-08,11778.092053595108,11015.24906857936,10647.788055946747
2025-07-09,11953.512773165377,11073.434682532457,10711.638812915382
2025-07-10,11953.524192643405,11097.51228008756,10741.848860832952
2025-07-11,11827.870170078231,11041.331984514347,10704.086300935991
2025-07-12,11827.870170078231,11041.331984514347,10704.086300935991
2025-07-13,11849.49233996707,11057.383716217748,10724.511167665973
2025-07-14,11849.49233996707,11057.383716217748,10724.511167665973
2025-07-15,11638.298066280639,11003.210269801806,10678.68297171959
2025-07-16,11816.60546676106,11039.325900745767,10714.384606193604
2025-07-17,11875.35215580066,11095.505430930285,10779.952801014697
2025-07-18,11898.898303818018,11089.486414235858,10772.057855107669
2025-07-19,11898.898303818018,11089.486414235858,10772.057855107669
2025-07-20,12133.67400355214,11115.570095559542,10792.483775480503
2025-07-21,12133.67400355214,11115.570095559542,10792.483775480503
2025-07-22,12239.381664629125,11143.659860651798,10794.028415904862
2025-07-23,12424.992229147147,11264.044786872539,10885.858658868583
2025-07-24,12309.583109727362,11237.961105548857,10889.462117430177
2025-07-25,12256.965417680954,11260.031853946686,10935.46311080466
2025-07-26,12256.965417680954,11260.031853946686,10935.46311080466
2025-07-27,12065.905722950927,11207.865256688017,10932.71731752644
2025-07-28,12065.905722950927,11207.865256688017,10932.71731752644
2025-07-29,12171.553839606768,11191.813524984613,10903.880166247978
2025-07-30,11997.228982088714,11145.665944420372,10890.14909257116
2025-07-31,11758.340638910398,11089.486414235855,10849.298305468337
2025-08-01,11726.095703504981,10981.139521403971,10671.472893667833
2025-08-02,11726.095703504981,10981.139521403971,10671.472893667833
2025-08-03,12073.519456007047,11127.608128948392,10833.67699651096
2025-08-04,12073.519456007047,11127.608128948392,10833.67699651096
2025-08-05,12066.238519167751,11109.550313476413,10778.750594517971
2025-08-06,12217.065557530816,11173.755709512634,10861.312994935555
2025-08-07,12352.99262409795,11201.846239993589,10852.214788888952
2025-08-08,12466.709213738535,11249.999904326407,10936.836007443768
2025-08-09,12466.709213738535,11249.999904326407,10936.836007443768
2025-08-10,12364.150677647103,11223.916223002725,10915.208934217068
2025-08-11,12364.150677647103,11223.916223002725,10915.208934217068
2025-08-12,12612.728447932435,11344.30191461216,11031.413097328568
2025-08-13,12821.750165923982,11404.49437772253,11069.174603582676
2025-08-14,12676.166707168415,11380.417545556124,11070.204012651297
2025-08-15,12663.82286317757,11378.410696398852,11044.286505722013
2025-08-16,12663.82286317757,11378.410696398852,11044.286505722013
2025-08-17,12644.485608490646,11384.430478481974,11041.882092728574
2025-08-18,12644.485608490646,11384.430478481974,11041.882092728574
2025-08-19,12561.803285665223,11334.269964991885,10981.978281892027
2025-08-20,12658.216511223423,11324.23724998291,10952.79869668593
2025-08-21,12525.47425551068,11290.128468196222,10908.857575091542
2025-08-22,13022.437092389617,11460.673907907052,11076.383627991578
2025-08-23,13022.437092389617,11460.673907907052,11076.383627991578
2025-08-24,12764.083433235057,11390.449495176405,11027.634734053165
2025-08-25,12764.083433235057,11390.449495176405,11027.634734053165
2025-08-26,12761.36151907931,11422.552193194515,11073.808524855745
2025-08-27,12740.632923346184,11426.565126120366,11099.0401102869
2025-08-28,12841.463447708837,11466.693689990178,11138.346256965364
2025-08-29,12746.038822677083,11404.494377722534,11071.920396860896
2025-08-30,12746.038822677083,11404.494377722534,11071.920396860896
2025-08-31,12772.548325242786,11334.269964991885,10989.87428144191
2025-09-01,12772.548325242786,11334.269964991885,10989.87428144191
2025-09-02,12623.949308610745,11334.269964991885,10989.87428144191
2025-09-03,12800.33762502466,11372.391679704424,11049.434604707965
2025-09-04,12891.494831901085,11446.629025360922,11141.77902538457
2025-09-05,13065.294189510581,11464.686840832903,11109.51015932976
2025-09-06,13065.294189510581,11464.686840832903,11109.51015932976
2025-09-07,13284.527571809684,11520.866371017422,11136.801616541008
2025-09-08,13284.527571809684,11520.866371017422,11136.801616541008
2025-09-09,13265.264747649193,11530.899086026397,11162.548433327898
2025-09-10,13377.900361342856,11558.988851118656,11194.818353025561
2025-09-11,13627.713678366996,11663.322811024687,11287.849748843146
2025-09-12,13560.343244223524,11641.252062626856,11284.072439210595
2025-09-13,13560.343244223524,11641.252062626856,11284.072439210595
2025-09-14,13769.651060923528,11701.444525737228,11344.147993832388
2025-09-15,13769.651060923528,11701.444525737228,11344.147993832388
2025-09-16,13768.031738155265,11703.451374894501,11328.528792160721
2025-09-17,13636.02257214809,11687.399643191096,11314.45423091341
2025-09-18,13644.480938739805,11735.554072912611,11367.320761126304
2025-09-19,13543.717299891321,11745.586022532887,11423.621113401257
2025-09-20,13543.717299891321,11745.586022532887,11423.621113401257
2025-09-21,13680.682723282029,11787.720670171278,11477.666669968075
2025-09-22,13680.682723282029,11787.720670171278,11477.666669968075
2025-09-23,13702.395433318094,11747.592106301468,11415.187755995697
2025-09-24,13559.583441096145,11701.444525737228,11378.86868680908
2025-09-25,13332.932088221405,11639.245213469585,11326.373038880887
2025-09-26,13510.086529259468,11689.405726959676,11391.262687703831
2025-09-27,13510.086529259468,11689.405726959676,11391.262687703831
2025-09-28,13726.406925065105,11731.54113998676,11423.276572187908
2025-09-29,13726.406925065105,11731.54113998676,11423.276572187908
2025-09-30,13972.657161025169,11781.70165347685,11466.306292713358
2025-10-01,14201.311816616873,11831.862166966943,11505.378530678174
2025-10-02,14021.354709399864,11849.919982438923,11518.630196856304
2025-10-03,14121.944812966165,11880.01583129976,11518.459506713913
2025-10-04,14121.944812966165,11880.01583129976,11518.459506713913
2025-10-05,14067.582387812432,11920.14439516957,11559.767574815485
2025-10-06,14067.582387812432,11920.14439516957,11559.767574815485
2025-10-07,13827.038424239265,11851.9260662075,11516.909598075285
2025-10-08,14197.483640527136,11914.125378475142,11585.586039316468
2025-10-09,13649.25835894065,11857.945082901928,11552.022246193761
2025-10-10,13909.258666043042,11581.059599516488,11239.796259188548
2025-10-11,13909.258666043042,11581.059599516488,11239.796259188548
2025-10-12,14044.518304903273,11749.59895545874,11412.260736146538
2025-10-13,14044.518304903273,11749.59895545874,11412.260736146538
2025-10-14,14039.200906527094,11745.58602253289,11398.318933898865
2025-10-15,14169.13723335288,11811.79750233769,11448.92223926079
2025-10-16,14184.234191144798,11781.701653476852,11370.952668044965
2025-10-17,13821.178600656745,11807.784569411839,11435.497775654563
2025-10-18,13821.178600656745,11807.784569411839,11435.497775654563
2025-10-19,14404.46392290187,11922.150478938149,11554.431927401472
2025-10-20,14404.46392290187,11922.150478938149,11554.431927401472
2025-10-21,13656.135535663943,11890.047780920042,11554.25912997337
2025-10-22,13875.833446015697,11843.9002003558,11494.189897208702
2025-10-23,14145.149600158176,11914.125378475142,11562.350053451293
2025-10-24,14030.916075217556,11982.343707437216,11656.843905550602
2025-10-25,14030.916075217556,11982.343707437216,11656.843905550602
2025-10-26,14132.62284059963,12092.696684037675,11794.367478175358
2025-10-27,14132.62284059963,12092.696684037675,11794.367478175358
2025-10-28,13947.513917437847,12098.715700732104,11825.693333875597
2025-10-29,13862.593784757382,12064.606918945416,11831.373522502958
2025-10-30,13764.150543060396,11978.330774511365,11701.250737286577
2025-10-31,13732.199455294958,11996.388589983344,11739.6338928247
2025-11-01,13732.199455294958,11996.388589983344,11739.6338928247
2025-11-02,13796.142618595188,12016.452489223904,11761.665564907444
2025-11-03,13796.142618595188,12016.452489223904,11761.665564907444
2025-11-04,13418.441955374336,11876.002898373912,11622.247542430712
2025-11-05,13551.30207641387,11926.163411864001,11662.524094177958
2025-11-06,13471.586574764051,11837.881183661371,11537.392415162247
2025-11-07,13519.537166924143,11857.94508290193,11548.75173877411
2025-11-08,13519.537166924143,11857.94508290193,11548.75173877411
2025-11-09,13949.468891292445,12008.426623372201,11728.962597996677
2025-11-10,13949.468891292445,12008.426623372201,11728.962597996677
2025-11-11,14132.476834416266,12044.542254316164,11755.812578851986
2025-11-12,14318.49625703155,12068.619851871264,11762.353593691283
2025-11-13,14665.82579883988,11908.10559639202,11567.168362223858
2025-11-14,14444.06381783451,11892.054630077311,11565.276019657593
2025-11-15,14444.06381783451,11892.054630077311,11565.276019657593
2025-11-16,14136.555015507127,11779.694804319579,11457.528394094446
2025-11-17,14136.555015507127,11779.694804319579,11457.528394094446
2025-11-18,13878.282312295018,11691.412576116949,11361.313943214118
2025-11-19,13268.956093921848,11701.444525737228,11405.204489951502
2025-11-20,13390.295185146328,11542.937119415255,11231.362901782984
2025-11-21,13718.318264074556,11659.309878098838,11343.240807334862
2025-11-22,13718.318264074556,11659.309878098838,11343.240807334862
2025-11-23,13945.620119358411,11779.694804319579,11510.196839450738
2025-11-24,13945.620119358411,11779.694804319579,11510.196839450738
2025-11-25,14349.50952016392,11886.035613382881,11618.460750012473
2025-11-26,14672.120990022237,11976.323925354089,11698.66931229362
2025-11-27,14624.943251821558,12028.49128800145,11762.525337476523
2025-11-28,14778.470792819067,12028.49128800145,11762.525337476523
2025-11-29,14778.470792819067,12028.49128800145,11762.525337476523
2025-11-30,14529.127917505839,11972.310992428236,11708.82432212305
2025-12-01,14529.127917505839,11972.310992428236,11708.82432212305
2025-12-02,14555.856633265834,12000.40152290919,11730.511452992447
2025-12-03,14739.322171187787,12042.536170547579,11771.131492310185
2025-12-04,14762.82162169678,12060.59398601956,11779.737647143846
2025-12-05,14672.38669680564,12078.65180149154,11802.11280679708
2025-12-06,14672.38669680564,12078.65180149154,11802.11280679708
2025-12-07,14469.005793121578,12046.54910347343,11766.65667110811
2025-12-08,14469.005793121578,12046.54910347343,11766.65667110811
2025-12-09,14453.813808958927,12030.497371770029,11756.500607635822
2025-12-10,14729.213893940234,12130.818398750207,11834.472286137356
2025-12-11,15038.731504804351,12160.91501299974,11862.010295776505
2025-12-12,14707.167979848842,12058.587136862287,11734.469989195935
2025-12-13,14707.167979848842,12058.587136862287,11734.469989195935
2025-12-14,14842.73247798858,12058.587136862287,11716.741394530021
2025-12-15,14842.73247798858,12058.587136862287,11716.741394530021
2025-12-16,14705.154481169351,12014.44640545532,11684.727510045946
2025-12-17,14386.653615562725,11916.131462243715,11556.15357982534
2025-12-18,14613.977698044882,12002.407606677767,11643.417334658663
2025-12-19,14962.81094040644,12084.67081818597,11748.947042013575
2025-12-20,14962.81094040644,12084.67081818597,11748.947042013575
2025-12-21,15142.621429682342,12158.908163842469,11822.14150381386
2025-12-22,15142.621429682342,12158.908163842469,11822.14150381386
2025-12-23,15392.318104895197,11962.279042807957,11876.174416666427
2025-12-24,15447.87468117989,11986.356640363061,11917.950302195297
2025-12-25,15445.47067713568,11994.381740826067,11916.741773841453
2025-12-26,15593.523394095617,11994.381740826067,11916.741773841453
2025-12-27,15593.523394095617,11994.381740826067,11916.741773841453
